,company_name,company_rating,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,salary_rate,recommendation_rate,company_address,company_state,company_employee_num,company_benefit,company_dress_code,company_language,company_work_hours
4183,AdrianYeo PLT,3.7647,6,6,2,1,2,82%,82%,"63 jalan ss 25/2, taman bukit emas, 47301 petaling jaya, selangor, malaysia",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Education support, Sports (e.g. Gym), Parking, Trainings, Sponsorship for professional courses",Smart casual and uniforms provided,English,"Regular hours, Mondays - Fridays"
4184,Truwater Cooling Towers Sdn Bhd,3.4706,3,7,3,3,1,76%,58%,"97 jalan ss 7/2, kelana jaya, 47301 petaling jaya, selangor",Selangor,51 - 200 ,"Medical, Parking",Business (e.g. Shirts),English,Monday-Fridays & Alternate Saturdays (Sg Buloh Factory)
4185,Shin-Etsu Electronics (M) Sdn Bhd,3.0588,4,3,3,4,3,58%,52%,"jalan serendah 26/17, taman perindustrian hicom, 40400 shah alam, selangor, malaysia",Selangor,201 - 500 ,"Medical, Education support, Dental, Sports (e.g. Gym), Parking, Insurance Coverage",Casual (e.g. T-shirts),Bahasa Malaysia & English,5 days per week (Monday-Friday)
4186,Putra Medical Centre,3.8235,8,4,2,0,3,76%,76%,"888, jalan sekerat, off jalan putra, 05100 alor setar, kedah darul aman",Kedah,201 - 500 ,"Medical, Dental",Formal (e.g. Shirts + Ties),English,24 hours' services
4187,Ebertech Sdn Bhd,4.8824,16,0,1,0,0,94%,88%,"d-13-06, menara suezcap 1, kl gateway, jalan kerinchi, 59200 kuala lumpur",Kuala Lumpur,1 - 50 ,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4190,UTSB Management Sdn Bhd,3.0,5,2,2,4,4,94%,41%,"menara maxis, kuala lumpur city centre, 56000 kuala lumpur, federal territory of kuala lumpur, malaysia",Kuala Lumpur,51 - 200 ,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking Allowance",Business (e.g. Shirts),English,Mon - Thur (9am - 6pm) and Friday(9am - 5pm)
4191,Detik Harapan Sdn Bhd,2.0588,1,0,5,4,7,41%,17%,"igb international school, jalan sierramas utama, sierramas, 47000 sungai buloh, selangor, malaysia",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4192,Mark Jaya Engineering Sdn Bhd,4.0,7,6,2,1,1,82%,82%,"7 jalan ss 13/3d, subang jaya industrial estate, 47500 subang jaya, selangor, malaysia",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Parking, Tolls",Uniform,English,We work on Alternate Saturdays (selected departments only)
4193,Deriv Services Sdn Bhd,3.9412,9,1,5,1,1,100%,70%,"deriv hq, 3500, jalan teknokrat 3, 63000, cyberjaya, selangor",Selangor,501 - 1000 ,"Medical, Miscellaneous allowance, Education support, Dental, Sports (e.g. Gym), Parking, Vision, Company trips, Health screening",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
4194,HB Glass & Aluminium Sdn Bhd,3.6471,6,6,1,1,3,88%,52%,"jalan padu, kampung tahana 2, 80350 johor bahru, johor, malaysia",Johor,51 - 200 ,"Medical Benefit, Vacation Leave, Overseas Trip, Attractive Bonus, Medical, Parking",Business (e.g. Shirts),English,Mondays-Saturdays
4197,"Tyco Fire, Security & Services Malaysia Sdn Bhd",3.6471,5,7,2,0,3,94%,70%,"southgate commercial centre, no 2, jalan dua off jalan chan sow lin, kuala lumpur federal territory of kuala lumpur malaysia",Kuala Lumpur,51 - 200 ,"Parking, Petrol Allowance, Commissions, Medical, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4198,GM Acquisition Sdn Bhd,3.7647,9,3,1,0,4,88%,82%,"axiata tower level 18,jalan stesen sentral 5 brickfields kuala lumpur federal territory of kuala lumpur malaysia",Kuala Lumpur,51 - 200 ,Miscellaneous allowance,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
4200,TLP TERMINAL SDN BHD,4.4118,12,0,5,0,0,70%,70%,"tlp building, tanjung langsat, industrial complex, p.o. box 160, 81707, pasir gudang, johor, malaysia",Johor,51 - 200 ,"Medical, Miscellaneous allowance",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
4201,ABio Orthopaedics Sdn Bhd,4.4118,11,4,1,0,1,100%,88%,"2438, lorong perusahaan 4a, prai free industrial zone, prai, penang",Penang,51 - 200 ,Miscellaneous allowance,Casual (e.g. T-shirts),English,Saturdays/Shift required
4203,Bukit Kiara Properties Sdn Bhd,4.2353,10,5,0,0,2,94%,82%,"penthouse, block b-13a-p1, plaza mont'kiara, 50480 kuala lumpur",Kuala Lumpur,51 - 200 ,"Dental, Education support, Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,5-day work week or alternate Saturdays for certain positions.
4204,Weida (M) Bhd,2.8824,2,4,4,4,3,76%,47%,1 first avenue bandar utama petaling jaya selangor malaysia,Selangor,501 - 1000 ,"Medical, Learning & Development, Group Insurance, Special Leaves etc.",Business Attire,English,5-days Work Week (Monday – Friday)
4205,Rimbunan Hijau Group (RH Group),3.4706,5,4,5,0,3,82%,70%,"menara rimbunan hijau, 101 pusat suria permata, jalan upper lanang, 96000 sibu sarawak, east malaysia",Sarawak,> 5000 ,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,5 working days in a week (Depending on work location and business operations)
4207,Kensington Green Specialist Centre Sdn. Bhd.,3.2353,6,4,1,0,6,76%,64%,"no. 2, jalan ceria 20, taman nusa indah, 79100, iskandar puteri, johor",Johor,51 - 200 ,Medical,Formal (e.g. Shirts + Ties),English,"3 rotating shifts (Morning, Afternoon, Night)"
4208,MCB Industries Sdn Bhd,3.1176,4,3,4,3,3,70%,58%,"76km ipoh-butterworth main trunk road, taiping, perak",Perak,201 - 500 ,"Dental, Medical, Miscellaneous allowance, Parking",Uniforms Provided,English,Mondays to Fridays -  9am to 6pm
4209,MFE Formwork Technology Sdn Bhd,4.4118,10,4,3,0,0,94%,100%,kawasan perindustrian bandar sultan suleiman pelabuhan klang selangor malaysia,Selangor,501 - 1000 ,"Medical, Insurance",Business (e.g. Shirts),English,Mondays-Fridays & Saturdays
4210,Southern Steel Mesh Sdn Bhd,3.3529,3,6,5,0,3,94%,76%,"batu 5 1/2 jalan kapar, 42100 klang, selangor, malaysia",Selangor,501 - 1000 ,"Medical, Miscellaneous allowance, Dental, Will be adviced during interview",Uniform,English,Role specific
4211,Plan C ICT Sdn Bhd,3.1765,7,1,3,0,6,94%,41%,"b607, phileo damansara 2, 15, jalan 16/11, 46350 petaling jaya, selangor",Selangor,51 - 200 ,Miscellaneous Allowance,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4212,CWM Group Sdn Bhd,4.0588,9,4,2,0,2,100%,88%,16/16 persiaran kemajuan seksyen 16 40200 shah alam selangor malaysia,Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Dental, Parking, Insurance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4213,Tune Protect Group Berhad,3.8824,5,6,5,1,0,82%,76%,"level 9, wisma tune (formerly known as pnb damansara), no.19 lorong dungun, damansara heights, 50490 kuala lumpur",Selangor,201 - 500 ,"Medical, Miscellaneous allowance, Dental, Vision, Opportunity to work on overseas projects ",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
4214,Malaysia H & M Retail SDN. BHD.,4.1176,7,7,2,0,1,94%,76%,lot 10 jalan sultan ismail kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,501 - 1000 ,"Medical, Dental, Hospitalization Insurance & Etc.",Casual - Fashion & Trendy,English,Monday to Sunday Shift Hours
4215,Airpak Express (M) Sdn Bhd,3.3529,4,5,3,3,2,52%,29%,airpak express m sdn bhd jalan 51a/243 petaling jaya selangor malaysia,Selangor,201 - 500 ,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,Saturdays/Shift required
4216,Sepakat Setia Perunding (B) Sdn Bhd,3.7059,5,7,1,3,1,82%,76%,"po box 255, bandar seri begawan bs8670, negara brunei darussalam",,1 - 50 ,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays-Fridays; Half-day for Saturdays"
4217,Biji-biji Initiative,4.9412,16,1,0,0,0,94%,100%,"lot 1c, level g1 (a4 entrance) publika shopping gallery, solaris dutamas, 50480 kuala lumpur",Kuala Lumpur,1 - 50 ,"Medical, Miscellaneous allowance",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
4218,Power Cables Malaysia Sdn Bhd,4.1765,8,6,2,0,1,100%,88%,"jalan kawat 15/18, seksyen 15, 40200 shah alam, selangor, malaysia",Selangor,51 - 200 ,"Medical, Dental, Group Hospitalization Scheme",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4219,Alfagomma Malaysia Sdn Bhd,3.0,3,6,2,0,6,88%,41%,"plo 334, jalan perak 4, pasir gudang johor malaysia",Perak,201 - 500 ,Medical,Formal (e.g. Shirts + Ties),English,Mondays to Saturdays - 5.5 days week
4221,Syfon Systems Sdn Bhd,2.8824,3,4,2,4,4,70%,41%,"6 & 8, jalan angklung 33/20, shah alam technology park, shah alam, selangor",Selangor,51 - 200 ,"Medical, Miscellaneous allowance",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
4222,Cartrack Malaysia Sdn Bhd,2.6471,2,5,2,1,7,82%,47%,"menara zurich, #28-03 johor bahru",Johor,51 - 200 ,Medical,Smart Casual,English,"Regular hours, Mondays - Fridays"
4223,ECON Medicare Centre And Nursing Home Sdn. Bhd,4.1765,11,2,2,0,2,88%,82%,"econ medicare centre, no 1, jalan camar 3, taman perling, 81200 johor bahru, johor",Johor,51 - 200 ,"Medical, Miscellaneous allowance, Education support, Parking, Overtime, Annual Increment, Bonus, Staff Meal, Competitive ",Medical Attire,English,Depends on position
4224,OSK Design Sdn Bhd,1.5882,0,0,4,2,11,76%,5%,"jalan ampang, 50450 kuala lumpur malaysia",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Dental, GHS & GPA, Wellness,",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4225,ANCUBIC CAPITAL SDN BHD,4.0588,8,6,1,0,2,100%,64%,"a-1-28 ioi boulevard, jalan kenari 5, bandar puchong jaya, 47170 puchong, selangor, malaysia",Selangor,51 - 200 ,Medical,Formal attire,English,5 - 6 days week
4226,Transfame Sdn Bhd,4.0,10,2,2,1,2,100%,82%,menara lgb taman tun dr ismail kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,51 - 200 ,"Medical, Parking, Telephone",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4227,Miroza Leather (M) Sdn Bhd,3.9375,6,5,4,0,1,94%,58%,"lot 1910, kawasan perindustrian, kampung baru balakong, 43000 seri kembangan selangor malaysia",Selangor,501 - 1000 ,"Medical, Miscellaneous allowance, Dental, Parking",Business (e.g. Shirts),Mandarin,"Regular hours, Mondays - Fridays"
4228,J & J EDUCATION GROUP SDN. BHD.,2.1176,0,4,1,5,7,35%,23%,"3, jalan 13/6, seksyen 13, 46200 petaling jaya, selangor",Selangor,51 - 200 ,Medical,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
4229,Chemi-Con (M) Sdn Bhd,3.9412,7,3,6,1,0,70%,94%,"fiz, telok panglima garang, 15 km, jalan klang banting ,telok panglima garang selangor malaysia",Selangor,501 - 1000 ,"Medical, Miscellaneous allowance, Sports (e.g. Gym), Parking, Cafeteria",Uniform,English,"Regular hours, Mondays - Fridays"
4230,Salcon Berhad,4.0588,8,6,1,0,2,94%,94%,"persiaran kewajipan, 47600 subang jaya, selangor, malaysia",Selangor,201 - 500 ,"Medical, Miscellaneous allowance, Education support, Loans, Sports (e.g. Gym), Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4231,HANA MEDIC SDN BHD,2.5882,3,2,2,5,5,52%,41%,"no.3, jalan nilam 3, nilai impian, 71800 nilai, negeri sembilan",Negeri Sembilan,1 - 50 ,"EPF, SOCSO",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
4232,Bina Puri Holdings Berhad,3.5294,6,4,2,3,2,82%,64%,"no. 88, jalan bukit idaman 8/1, bukit idaman, 68100 selayang, selangor",Selangor,501 - 1000 ,"Medical, Dental, Sports (e.g. Gym), Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4233,Bridgenet Solutions Sdn Bhd,3.2941,8,1,1,2,5,58%,47%,"menara 1mk, kompleks mont kiara",,51 - 200 ,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4234,HOMETASTE TECH SDN. BHD.,4.8235,15,1,1,0,0,94%,94%,"bandar utama, petaling jaya, selangor",Selangor,1 - 50 ,Miscellaneous allowance,Casual (e.g. T-shirts),English,Saturdays/Shift required
4235,Amano Malaysia Sdn Bhd,4.2353,8,7,1,0,1,76%,88%,"12 jalan pengacara u1/48, temasya industrial park, 40150 shah alam, selangor, malaysia",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4236,WorldFish,4.0,7,6,2,1,1,82%,88%,"jalan batu maung, 11960 batu maung, penang, malaysia",Penang,201 - 500 ,"Medical, Dental, Sports (e.g. Gym), Parking, Vision",Smart Casual,English,"Regular hours, Mondays - Fridays"
4237,BORNEO SEAOFFSHORE ENGINEERING SDN BHD,3.375,6,4,0,2,4,100%,58%,megan avenue 1 189 jalan tun razak kampung baru kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,1 - 50 ,"Medical, Miscellaneous allowance, Education support, Sports (e.g. Gym), Parking",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
4238,Power Cables Malaysia Sdn Bhd,4.1765,8,6,2,0,1,100%,88%,"jalan kawat 15/18, seksyen 15, 40200 shah alam, selangor, malaysia",Selangor,51 - 200 ,"Medical, Dental, Group Hospitalization Scheme",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4239,Biji-biji Initiative,4.9412,16,1,0,0,0,94%,100%,"lot 1c, level g1 (a4 entrance) publika shopping gallery, solaris dutamas, 50480 kuala lumpur",Kuala Lumpur,1 - 50 ,"Medical, Miscellaneous allowance",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
4243,Capco (The Capital Market Company Group),4.1176,8,5,3,0,1,100%,88%,"level 14 & 15, regus dpulze,
lingkaran cyber point timur, cyber 12  
63000, cyberjaya, selangor",Selangor,2001 - 5000 ,"Medical, Miscellaneous allowance, Dental, Vision",Business Attire,English,Contingent on client
4244,Asian Geos Sdn Bhd,3.2941,5,2,3,7,0,82%,52%,"level 2, wisma sin heap lee, 346 jalan tun razak, 50400 kuala lumpur",Kuala Lumpur,51 - 200 ,"Medical, Dental",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
4245,Wear Safe (Malaysia) Sdn Bhd,3.4118,4,6,2,3,2,70%,29%,"lot pt54924, no.3, jalan korporat 7c/ku9, taman perindustrian meru, mukim kapar, 42200 klang, selangor d.e.",Selangor,1001 - 2000 ,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Office - Monday - Friday, Operation - Saturday or shift required."
4246,Transfame Sdn Bhd,4.0,10,2,2,1,2,100%,82%,menara lgb taman tun dr ismail kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,51 - 200 ,"Medical, Parking, Telephone",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4247,IRIICHI (MALAYSIA) SDN. BHD.,4.1176,8,4,4,1,0,76%,64%,"plot 507 tingkat perusahaan 4, kawasan perindustrian bebas prai 13600 prai.",,201 - 500 ,"Medical, Miscellaneous allowance, Dental, Transportation, Fuel, Toll, Insurance,etc.",Company Uniform,"English, Bahasa Malaysia",Mondays-Saturdays (follow calendar)
4248,Hicom-Yamaha Manufacturing Malaysia Sdn Bhd,4.4118,11,2,4,0,0,88%,70%,"persiaran kuala selangor, 40400 shah alam, selangor, malaysia",Selangor,201 - 500 ,"Medical, Dental, Insurance",Uniform will be provided,English,"Regular hours, Mondays - Fridays"
4249,BORNEO SEAOFFSHORE ENGINEERING SDN BHD,3.375,6,4,0,2,4,100%,58%,megan avenue 1 189 jalan tun razak kampung baru kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,1 - 50 ,"Medical, Miscellaneous allowance, Education support, Sports (e.g. Gym), Parking",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
4250,Demand Options Sdn Bhd,3.5294,7,3,2,2,3,82%,64%,"no 6 & 8 jalan mahir 5, kawasan perindustrian desa cemerlang, 81800 ulu tiram, johor.",Johor,201 - 500 ,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English & Bahasa Malaysia,"Regular hours, Monday-Friday with alternate Saturday"
4251,Pan Malaysian Pools Sdn Bhd,3.7059,3,9,2,3,0,82%,76%,multiple work s,,201 - 500 ,"Medical, Dental, Insurance coverage, Development programmes, Loans",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4252,VSTECS BERHAD,3.4118,3,5,7,0,2,100%,64%,"lot 3, jalan teknologi 3/5, taman sains selangor, 47810 petaling jaya, selangor, malaysia",Selangor,201 - 500 ,"Medical, Miscellaneous allowance, Parking, Sport Club, PA, GTL and hospitalisation coverage",Business (e.g. Shirts),English & Bahasa Malaysia,"Regular hours, Mondays - Fridays"
4253,H.I.S. Travel (Malaysia) Sdn Bhd,4.0625,7,5,2,2,0,62%,81%,central plaza bukit bintang kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,51 - 200 ,"Medical, Dental, Miscellaneous allowance, vacation incentive",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4255,Sri Datai Group of Companies,3.0,3,4,2,4,3,68%,43%,"no 13-14, lot 8704-8705, green heights commercial centre, new airport road, kuching",Sarawak,501 - 1000 ,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,Saturdays/Shift required
4256,APOLLO TYRES (MALAYSIA) SDN. BHD.,2.0625,2,1,2,2,9,81%,25%,"unit 1504, level 15, uptown-1, 1 jalan ss21/58, damasara uptown, 47400, petaling jaya",Selangor,1 - 50 ,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4257,Aladdin Street Dotcom (M) Sdn Bhd,2.625,3,3,2,1,7,75%,37%,menara mbmr jalan syed putra kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,51 - 200 ,"Attendance Token, Meal Reimbursement, Outpatient Medical Claim, GPA","Mon - Thursday (Business Attire), Friday (Smart Casual)",English,Regular Hours (Mon-Fri)
4258,Medini Iskandar Malaysia Sdn Bhd,3.1875,4,5,2,0,5,87%,43%,"b-ff-02, medini 6, jalan medini sentral 5, bandar medini iskandar malaysia, 79250 iskandar puteri, johor, malaysia.",Johor,51 - 200 ,"Medical, Parking, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4259,OTIS MALAYSIA SDN BHD,3.75,8,2,2,2,2,87%,68%,"lot 2, jalan cj 1/1a, kawasan perindustrian cheras jaya, 43200 cheras, selangor darul ehsan",Selangor,1 - 50 ,Medical,Company's uniform provided,English,"monday to friday,saturday alternate.Night shift  be required"
4260,Daya Bersih Sdn Bhd,3.9375,7,3,4,2,0,68%,75%,"b1-2-3a level 2 gaya commercial centre, lorong selangor, pusat bandar melawati, 53100 kuala lumpur",Selangor,501 - 1000 ,"Medical, Miscellaneous allowance, Education support, Dental, Vision",Business (e.g. Shirts),Malay,Regular Hours
4261,Leaderart Industries (M) Sdn Bhd,4.125,8,4,3,0,1,87%,87%,"no.7, jalan kukuh, kawasan perindustrian tampoi, 80350 johor bahru, johor, malaysia",Johor,201 - 500 ,"Medical, Sports (Badminton/Zumba/YOGA/Pilates)",Business (e.g. Shirts),Mandarin,Office Flexi work hours : Monday-Friday (1 Sat work monthly) Production:Mon-Sat
4262,WEST RIVER ENGINEERING SDN BHD,2.9375,4,4,0,3,5,62%,43%,"jalan 2/101c, cheras business centre, kuala lumpur, federal territory of kuala lumpur, malaysia",Selangor,51 - 200 ,Medical,Office Attire,English,Monday-Friday
4263,Hunter Douglas (M) Sdn. Bhd.,4.25,10,2,3,0,1,93%,75%,"lot 493, persiaran kuala selangor, 40400 shah alam, selangor",Selangor,51 - 200 ,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4264,Fastron Group Fine Inductors,4.0,5,6,5,0,0,75%,75%,"bayan leaps, fiz 3, 11900 bayan lepas, penang, malaysia.",Penang,201 - 500 ,"Medical, Miscellaneous allowance, Dental, Parking, Vision, Insurance",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
4265,Enigma Consulting Group,2.875,6,2,0,0,8,43%,50%,"suite 15-09, binjai 8 premium soho, no.2 lorong binjai, 50450 kuala lumpur, federal territory of kuala lumpur, malaysia",Kuala Lumpur,1 - 50 ,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4266,ELI LILLY ASIA PACIFIC SSC SDN BHD,4.125,9,4,0,2,1,100%,81%,"level 16, the ascent, paradigm, no. 1 jalan ss 7/26a, kelana jaya, 47301 petaling jaya, selangor darul ehsan",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Education support, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4267,Daya Bersih Sdn Bhd,3.9375,7,3,4,2,0,68%,75%,"b1-2-3a level 2 gaya commercial centre, lorong selangor, pusat bandar melawati, 53100 kuala lumpur",Selangor,501 - 1000 ,"Medical, Miscellaneous allowance, Education support, Dental, Vision",Business (e.g. Shirts),Malay,Regular Hours
4268,Leaderart Industries (M) Sdn Bhd,4.125,8,4,3,0,1,87%,87%,"no.7, jalan kukuh, kawasan perindustrian tampoi, 80350 johor bahru, johor, malaysia",Johor,201 - 500 ,"Medical, Sports (Badminton/Zumba/YOGA/Pilates)",Business (e.g. Shirts),Mandarin,Office Flexi work hours : Monday-Friday (1 Sat work monthly) Production:Mon-Sat
4269,"Raslan Loong, Shen & Eow (Main Office)",4.125,11,2,0,0,3,93%,81%,"suite 08-03 lvl 8, wisma mont kiara, 1 jalan kiara, mont kiara 50480 kuala lumpur",Kuala Lumpur,1 - 50 ,"Medical, Miscellaneous allowance, Dental, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4270,Alfa Laval Malaysia Sdn. Bhd.,3.9375,3,9,4,0,0,93%,87%,"lot no. 4, jalan anggerik mokara 31/54 kota kemuning, 40460 shah alam, selangor",Selangor,51 - 200 ,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4273,E-Outsource Asia Sdn Bhd,3.5625,7,3,2,0,4,81%,68%,1 jalan pju 5/1 kota damansara 47810 petaling jaya selangor malaysia,Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Dental, Parking, Vision",Smart Casual but formal when meeting clients,English,"Regular hours, Mondays - Fridays"
4275,AB Mauri Malaysia Sdn Bhd,3.625,4,5,5,1,1,100%,62%,"lot 4185, kampung baru balakong, 43300 balakong, selangor",Selangor,51 - 200 ,"Medical, Dental, Contractual Bonus, Insurance Coverage",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4276,Unit One Design Sdn Bhd,1.8125,1,0,3,3,9,43%,12%,jalan dutamas 1 kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,1 - 50 ,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4277,MELILEA (M) SDN BHD,3.1875,4,2,6,1,3,75%,37%,"melilea tower, no. 6, avenue 3, the horizon, bangsar south no. 8, jalan kerinchi, 59200 kuala lumpur, malaysia",Kuala Lumpur,51 - 200 ,"Medical, Miscellaneous allowance, Dental",Formal (e.g. Shirts + Ties),English & Bahasa Malaysia,Depending on location (Monday to Saturday)
4278,Geowell Sdn Bhd,4.25,10,4,0,0,2,93%,93%,151 jalan aminuddin baki taman tun dr ismail kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,51 - 200 ,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4279,LESLIE YAP & CO.,1.75,2,1,0,1,12,50%,25%,"no 54, 1st floor, jalan ss 21/58, damansara utama, 47400 petaling jaya, selangor, malaysia",Selangor,1 - 50 ,Medical,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
4280,Jasmine Food Corporation Sdn Bhd,2.4667,2,3,2,1,7,68%,50%,"lot no. 5, jalan sejahtera 25/124, 40000 shah alam, selangor darul ehsan.",Selangor,51 - 200 ,Medical,Uniform and Business,English,"Regular hours, Mondays - Fridays"
4281,KUMPULAN PERANGSANG SELANGOR BERHAD,3.5625,5,5,3,0,3,93%,75%,"plaza perangsang, 
persiaran perbandaran, 
seksyen 14, 
40000 shah alam 
selangor darul ehsan
malaysia",Selangor,51 - 200 ,"Medical, Education support, Dental, Parking",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
4282,Poo Trading Import & Export Sdn Bhd,1.9375,1,0,2,7,6,12%,6%,"plot 128 jalan perindustrian bukit minyak 7, kawasan perindustrian bukit minyak, 14000 bukit mertajam, penang.",Penang,201 - 500 ,"Medical, Miscellaneous allowance, Parking, Vision, Meal Subsidy",Casual (e.g. T-shirts),"Bahasa Malaysia, English, Mandarin","Regular hours, Mondays - Fridays"
4283,Johnson Matthey Sdn Bhd,3.5625,2,7,6,0,1,100%,81%,"pt 3349, jalan permata 1/2, arab- malaysian industrial park, 71800 nilai, negeri sembilan",Negeri Sembilan,51 - 200 ,"Medical, Miscellaneous allowance, Dental, Parking, Vision, Travel Allowance","Operations - Uniform, Office - Business attire",English,"Operations - Shift, Office - Regular hours - Monday to Friday"
4284,Meiden Malaysia Sdn Bhd,3.9375,6,5,4,0,1,100%,93%,meiden malaysia sdn bhd bangsar utama kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,51 - 200 ,"Medical, Miscellaneous allowance, Dental, Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
4285,Phitomas Sdn Bhd,4.75,12,4,0,0,0,100%,100%,"suite 301, block a, level 3, pusat perdagangan phileo damansara 1, 9 jalan 16/11, petaling jaya, selangor, malaysia",Selangor,51 - 200 ,"Medical, Education support, Dental, Sports (e.g. Gym), Parking, Vision, Attractive Bonus Scheme, Work from home, Attractive Commission Scheme (Sales)",Mix of business and casual wear,English,"Regular hours, Mondays - Fridays"
4286,Hyperwave Systems Engineering Sdn Bhd,4.5625,10,5,1,0,0,93%,100%,"unit 130, first floor wisma sabah, 88000 kota kinabalu, sabah, malaysia.",Sabah,201 - 500 ,"Medical, Dental, Not Specified",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
4287,PAC Worldwide Asia Sdn Bhd,4.0,7,4,4,0,1,100%,62%,"lot 5, jalan lada hitam satu 16/12a, seksyen 16, 40200 shah alam, selangor darul ehsan, malaysia.",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Dental, Parking",Casual (e.g. T-shirts),English,Mon - Fri (Office Staff) & Mon - Sat (Production Staff & Shift Required)
4288,Boehringer Ingelheim (Malaysia) Sdn Bhd,4.4375,9,5,2,0,0,100%,100%,"suite 15-5 level 15, wisma uoa ii, no 6 jalan changkat sematan, damansara heights 50490 kuala lumpur",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Dental, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
